#FamilyID	pvalue	Significant at 0.05
N0.HOG0000905	0.23	n
N0.HOG0000906	0.157	n
N0.HOG0000907	0.004	y
N0.HOG0000918	0.484	n
N0.HOG0000921	0.027	y
N0.HOG0000922	0.436	n
N0.HOG0000923	0.302	n
N0.HOG0000924	0.941	n
N0.HOG0000925	0.875	n
N0.HOG0000926	0.085	n
N0.HOG0000927	0.001	y
N0.HOG0000928	0.04	y
N0.HOG0000930	0.327	n
N0.HOG0000933	0.127	n
N0.HOG0000934	0.944	n
N0.HOG0000935	0.576	n
N0.HOG0000938	0.727	n
N0.HOG0000939	0.377	n
N0.HOG0000941	0.028	y
N0.HOG0000947	0	y
N0.HOG0000950	0.001	y
N0.HOG0000951	0.036	y
N0.HOG0000953	0.665	n
N0.HOG0000954	0.696	n
N0.HOG0000956	0.96	n
N0.HOG0000957	0.009	y
N0.HOG0000958	0.001	y
N0.HOG0000959	0.316	n
N0.HOG0000960	0.002	y
N0.HOG0000961	0.952	n
N0.HOG0000963	0.004	y
N0.HOG0000967	0.011	y
N0.HOG0000968	0.329	n
N0.HOG0000969	0.545	n
N0.HOG0000970	0.695	n
N0.HOG0000972	0.573	n
N0.HOG0000973	0.235	n
N0.HOG0000974	0.909	n
N0.HOG0000975	0.502	n
N0.HOG0000976	0.22	n
N0.HOG0000977	0.178	n
N0.HOG0000978	0.08	n
N0.HOG0000979	0.596	n
N0.HOG0000987	0.033	y
N0.HOG0000988	0.894	n
N0.HOG0000993	0.001	y
N0.HOG0000994	0.766	n
N0.HOG0000995	0.999	n
N0.HOG0000996	0.728	n
N0.HOG0000998	0.061	n
N0.HOG0000999	0.439	n
N0.HOG0001001	0.813	n
N0.HOG0001002	0.527	n
N0.HOG0001003	0.785	n
N0.HOG0001004	0.713	n
N0.HOG0001005	0.296	n
N0.HOG0001006	0.999	n
N0.HOG0001007	0.747	n
N0.HOG0001010	0.142	n
N0.HOG0001011	0.084	n
N0.HOG0001013	0.192	n
N0.HOG0001014	0.308	n
N0.HOG0001015	0.511	n
N0.HOG0001016	0.009	y
N0.HOG0001017	0.642	n
N0.HOG0001018	0.703	n
N0.HOG0001019	0.417	n
N0.HOG0001020	0.142	n
N0.HOG0001022	0	y
N0.HOG0001023	0.079	n
N0.HOG0001024	0.106	n
N0.HOG0001025	0.999	n
N0.HOG0001026	0.486	n
N0.HOG0001027	0.08	n
N0.HOG0001038	0	y
N0.HOG0001042	0	y
N0.HOG0001043	0	y
N0.HOG0001044	0.611	n
N0.HOG0001045	0.929	n
N0.HOG0001046	0.29	n
N0.HOG0001047	0.7	n
N0.HOG0001049	0.536	n
N0.HOG0001050	0.415	n
N0.HOG0001052	0	y
N0.HOG0001054	0.713	n
N0.HOG0001055	0.042	y
N0.HOG0001056	0.568	n
N0.HOG0001057	0.197	n
N0.HOG0001058	0.091	n
N0.HOG0001059	0.589	n
N0.HOG0001060	0.658	n
N0.HOG0001061	0.813	n
N0.HOG0001062	0.663	n
N0.HOG0001063	0.609	n
N0.HOG0001064	0.011	y
N0.HOG0001065	0.191	n
N0.HOG0001077	0.944	n
N0.HOG0001078	0.759	n
N0.HOG0001081	0.033	y
N0.HOG0001082	0.51	n
N0.HOG0001087	0.813	n
N0.HOG0001088	0.661	n
N0.HOG0001089	0.883	n
N0.HOG0001090	0.18	n
N0.HOG0001091	0.915	n
N0.HOG0001092	0.506	n
N0.HOG0001093	0.881	n
N0.HOG0001094	0.91	n
N0.HOG0001095	0.728	n
N0.HOG0001096	0.813	n
N0.HOG0001097	0.001	y
N0.HOG0001098	0.544	n
N0.HOG0001099	0.813	n
N0.HOG0001100	0.705	n
N0.HOG0001102	0.131	n
N0.HOG0001103	0.621	n
N0.HOG0001104	0.437	n
N0.HOG0001105	0.735	n
N0.HOG0001106	0.715	n
N0.HOG0001107	0.686	n
N0.HOG0001108	0.916	n
N0.HOG0001110	0.69	n
N0.HOG0001111	0.486	n
N0.HOG0001112	0.566	n
N0.HOG0001113	0.036	y
N0.HOG0001114	0.541	n
N0.HOG0001115	0.863	n
N0.HOG0001117	0.029	y
N0.HOG0001118	0.033	y
N0.HOG0001120	0.155	n
N0.HOG0001122	0.999	n
N0.HOG0001125	0.001	y
N0.HOG0001127	0	y
N0.HOG0001130	0.873	n
N0.HOG0001131	0.997	n
N0.HOG0001132	0.552	n
N0.HOG0001133	0.602	n
N0.HOG0001135	0.649	n
N0.HOG0001136	0.872	n
N0.HOG0001137	0.715	n
N0.HOG0001140	0.46	n
N0.HOG0001143	0.944	n
N0.HOG0001144	0.939	n
N0.HOG0001145	0.748	n
N0.HOG0001146	0.421	n
N0.HOG0001148	0.146	n
N0.HOG0001149	0.014	y
N0.HOG0001150	0.058	n
N0.HOG0001152	0.569	n
N0.HOG0001154	0	y
N0.HOG0001155	0.417	n
N0.HOG0001157	0.054	n
N0.HOG0001158	0.73	n
N0.HOG0001159	0.68	n
N0.HOG0001160	0.545	n
N0.HOG0001161	0.13	n
N0.HOG0001162	0.073	n
N0.HOG0001163	0.505	n
N0.HOG0001164	0	y
N0.HOG0001166	0.008	y
N0.HOG0001167	0.855	n
N0.HOG0001168	0.002	y
N0.HOG0001172	0.001	y
N0.HOG0001173	0.935	n
N0.HOG0001174	0.387	n
N0.HOG0001175	0.001	y
N0.HOG0001176	0.707	n
N0.HOG0001177	0.072	n
N0.HOG0001178	0.082	n
N0.HOG0001179	0.019	y
N0.HOG0001180	0.001	y
N0.HOG0001181	0	y
N0.HOG0001182	0.608	n
N0.HOG0001183	0.058	n
N0.HOG0001184	0.008	y
N0.HOG0001185	0.082	n
N0.HOG0001186	0.027	y
N0.HOG0001187	0.273	n
N0.HOG0001192	0.746	n
N0.HOG0001193	0.004	y
N0.HOG0001199	0.004	y
N0.HOG0001200	0.873	n
N0.HOG0001201	0.007	y
N0.HOG0001202	0.728	n
N0.HOG0001203	0.914	n
N0.HOG0001207	0.504	n
N0.HOG0001209	0.718	n
N0.HOG0001210	0.927	n
N0.HOG0001214	0.416	n
N0.HOG0001217	0.539	n
N0.HOG0001218	0.408	n
N0.HOG0001219	0.529	n
N0.HOG0001221	0.813	n
N0.HOG0001222	0.815	n
N0.HOG0001225	0.351	n
N0.HOG0001226	0.746	n
N0.HOG0001227	0.784	n
N0.HOG0001228	0.849	n
N0.HOG0001229	0.91	n
N0.HOG0001230	0.027	y
N0.HOG0001231	0.821	n
N0.HOG0001232	0.605	n
N0.HOG0001233	0.07	n
N0.HOG0001234	0.156	n
N0.HOG0001236	0.965	n
N0.HOG0001238	0.007	y
N0.HOG0001240	0.177	n
N0.HOG0001241	0.986	n
N0.HOG0001242	0.836	n
N0.HOG0001243	0.614	n
N0.HOG0001244	0.841	n
N0.HOG0001245	0.673	n
N0.HOG0001246	0.913	n
N0.HOG0001247	0.822	n
N0.HOG0001248	0.568	n
N0.HOG0001251	0.362	n
N0.HOG0001252	0.873	n
N0.HOG0001253	0.056	n
N0.HOG0001255	0.454	n
N0.HOG0001256	0.705	n
N0.HOG0001257	0.641	n
N0.HOG0001258	0.421	n
N0.HOG0001259	0.175	n
N0.HOG0001262	0.818	n
N0.HOG0001264	0.136	n
N0.HOG0001267	0.273	n
N0.HOG0001268	0.212	n
N0.HOG0001269	0	y
N0.HOG0001270	0.73	n
N0.HOG0001271	0.211	n
N0.HOG0001281	0.91	n
N0.HOG0001283	0.913	n
N0.HOG0001284	0.85	n
N0.HOG0001285	0.053	n
N0.HOG0001288	0.008	y
N0.HOG0001289	0.333	n
N0.HOG0001290	0.955	n
N0.HOG0001292	0.745	n
N0.HOG0001293	0.635	n
N0.HOG0001295	0.054	n
